,CMS 6,CMS 6.1,CMS 6.2,CMS 6.3,CMS 6.4 ,CMS 6.5,CMS,CMS,CMS,CMS,XP,XP,XP,XP
,6,6.1,6.2,6.3,6.4,6.5,6.6,7,7.1,7.2,7.5,8,8.1,8.2
MS Azure SQL,-,-,-,-,-,-,-,-,-,-,-,-,-,_
MS SQL 2016 SP1,-,-,-,-,-,-,-,-,-,-,-,-,-,_
MS SQL 2014 SP2,-,-,-,-,-,-,-,-,-,-,_,_,_,_
MS SQL 2012,-,-,-,-,-,_,_,_,_,_,_,_,_,_
MS SQL 2008 R2,_,_,_,_,_,_,_,_,_,_,_,_,_,_
MS SQL 2008,_,_,_,_,_,_,_,-,-,-,-,-,-,-
MS SQL 2005,_,_,_,_,_,-,-,-,-,-,-,-,-,-
MongoDB 4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,_
MongoDB 3.4,-,-,-,-,-,-,-,-,-,-,-,-,-,_
MongoDB 3.2.1,-,-,-,-,-,-,-,-,-,-,-,-,-,_
MongoDB 3.0,-,-,-,-,-,-,-,-,-,-,-,_,_,_
MongoDB 2.6,-,-,-,-,-,-,-,-,-,-,_,_,_,_
SQLite,_,_,_,-,-,-,-,-,-,-,-,-,-,-
Oracle 11g R2,_,_,_,_,_,_,_,_,_,_,-,-,-,_
Oracle 11g,_,_,_,_,_,_,_,_,-,-,-,-,-,-
Oracle 10g,_,_,_,_,_,-,-,-,-,-,-,-,-,-